id,field_model,parent_id,field_member_of,field_weight,title,file,field_description,field_resource_type,field_subject_general,field_identifier,field_edtf_date_issued,field_linked_agent,field_publisher,field_rights,media_use_tid,field_viewer_override,media:audio:field_track,media:video:field_track,thumbnail,service,fits,extracted,Supplemental_PDF
28,Page,24,,4,Page 4 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_004.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_004.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_004.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_004.jp2.fits.xml,,
29,Page,24,,5,Page 5 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_005.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_005.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_005.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_005.jp2.fits.xml,,
30,Page,24,,6,Page 6 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_006.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_006.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_006.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_006.jp2.fits.xml,,
31,Page,24,,7,Page 7 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_007.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_007.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_007.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_007.jp2.fits.xml,,
32,Page,24,,8,Page 8 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_008.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_008.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_008.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_008.jp2.fits.xml,,
33,Page,24,,9,Page 9 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_009.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_009.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_009.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_009.jp2.fits.xml,,
34,Page,24,,10,Page 10 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_010.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_010.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_010.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_010.jp2.fits.xml,,
35,Page,24,,11,Page 11 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_011.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_011.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_011.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_011.jp2.fits.xml,,
36,Page,24,,12,Page 12 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_012.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_012.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_012.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_012.jp2.fits.xml,,
37,Page,24,,13,Page 13 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_013.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_013.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_013.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_013.jp2.fits.xml,,
38,Page,24,,14,Page 14 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_014.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_014.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_014.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_014.jp2.fits.xml,,
39,Page,24,,15,Page 15 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_015.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_015.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_015.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_015.jp2.fits.xml,,
40,Page,24,,16,Page 16 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_016.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_016.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_016.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_016.jp2.fits.xml,,
